product_id,product_name,category,subcategory,unit_price,unit_cost,active
1,Modern Wireless Earbuds,Electronics,Headphones,134.64,56.14,1
2,Signature Wireless Earbuds,Electronics,Headphones,198.54,71.26,1
3,Portable Wireless Earbuds,Electronics,Headphones,101.49,55.31,1
4,Ultra Over-Ear Headphones,Electronics,Headphones,271.33,160.85,0
5,Pro Smart Thermostat,Electronics,Smart Home,135.87,56.33,1
6,Classic Smart Plug,Electronics,Smart Home,180.27,82.51,1
7,Original Video Doorbell,Electronics,Smart Home,33.9,16.54,1
8,Classic Smart Thermostat,Electronics,Smart Home,255.14,152.78,1
9,Signature Video Doorbell,Electronics,Smart Home,98.65,36.59,1
10,Advanced USB-C Cable,Electronics,Cables & Chargers,116.26,44.21,1
11,Compact Power Bank,Electronics,Cables & Chargers,176.03,72.67,1
12,Signature USB-C Cable,Electronics,Cables & Chargers,291.22,148.59,1
13,Everyday Car Charger,Electronics,Cables & Chargers,132.43,83.12,1
14,Eco Wireless Charger,Electronics,Cables & Chargers,156.06,90.59,0
15,Original USB-C Cable,Electronics,Cables & Chargers,152.22,65.5,1
16,Eco USB Hub,Electronics,Laptop Accessories,232.17,142.88,1
17,Essential USB Hub,Electronics,Laptop Accessories,75.74,43.44,1
18,Lightweight Cooling Pad,Electronics,Laptop Accessories,268.84,123.29,1
19,Portable USB Hub,Electronics,Laptop Accessories,229.68,132.46,1
20,Eco USB Hub,Electronics,Laptop Accessories,84.59,46.88,1
21,Everyday Cooling Pad,Electronics,Laptop Accessories,274.21,134.48,1
22,Eco Action Camera,Electronics,Cameras,399.88,230.04,1
23,Classic Tripod,Electronics,Cameras,142.67,56.7,0
24,Portable Tripod,Electronics,Cameras,346.45,174.02,1
25,Advanced Tripod,Electronics,Cameras,292.94,156.05,1
26,Signature Cotton T-Shirt,Apparel,Men's T-Shirts,66.46,23.65,1
27,Deluxe Polo Shirt,Apparel,Men's T-Shirts,21.73,13.33,1
28,Modern Cotton T-Shirt,Apparel,Men's T-Shirts,93.65,34.72,1
29,Compact Graphic Tee,Apparel,Men's T-Shirts,122.84,77.89,1
30,Deluxe Henley Shirt,Apparel,Men's T-Shirts,168.06,96.9,1
31,Eco Sundress,Apparel,Women's Dresses,121.18,58.34,1
32,Deluxe Maxi Dress,Apparel,Women's Dresses,49.75,22.46,1
33,Signature Midi Dress,Apparel,Women's Dresses,49.0,18.19,1
34,Classic Midi Dress,Apparel,Women's Dresses,164.11,99.76,1
35,Essential Midi Dress,Apparel,Women's Dresses,124.39,51.53,1
36,Deluxe Sundress,Apparel,Women's Dresses,143.82,85.18,1
37,Pro Windbreaker,Apparel,Outerwear,83.16,40.76,1
38,Premium Rain Jacket,Apparel,Outerwear,79.64,35.98,1
39,Deluxe Puffer Jacket,Apparel,Outerwear,43.96,21.3,1
40,Ultra Denim Jacket,Apparel,Outerwear,53.97,33.84,1
41,Eco Leggings,Apparel,Activewear,179.88,108.07,1
42,Compact Running Shorts,Apparel,Activewear,80.28,39.69,1
43,Compact Leggings,Apparel,Activewear,75.67,48.85,1
44,Essential Track Jacket,Apparel,Activewear,83.07,52.93,1
45,Deluxe Canvas Sneakers,Apparel,Footwear,61.85,39.62,1
46,Modern Running Shoes,Apparel,Footwear,64.69,23.61,1
47,Premium Canvas Sneakers,Apparel,Footwear,173.41,64.86,1
48,Eco Running Shoes,Apparel,Footwear,156.79,73.87,1
49,Signature Canvas Sneakers,Apparel,Footwear,111.88,59.95,1
50,Lightweight Sandals,Apparel,Footwear,55.81,30.75,1
51,Everyday Sandals,Apparel,Footwear,33.99,18.48,1
52,Ultra Non-Stick Pan,Home & Kitchen,Cookware,190.14,98.66,1
53,Portable Stock Pot,Home & Kitchen,Cookware,86.91,54.75,1
54,Pro Stock Pot,Home & Kitchen,Cookware,92.65,44.61,1
55,Signature Cast Iron Skillet,Home & Kitchen,Cookware,295.32,174.87,1
56,Lightweight Coffee Maker,Home & Kitchen,Small Appliances,48.94,18.82,1
57,Essential Blender,Home & Kitchen,Small Appliances,91.71,37.89,1
58,Portable Toaster,Home & Kitchen,Small Appliances,151.67,94.28,1
59,Eco Coffee Maker,Home & Kitchen,Small Appliances,132.84,57.52,0
60,Eco Blender,Home & Kitchen,Small Appliances,294.14,117.21,1
61,Portable Air Fryer,Home & Kitchen,Small Appliances,12.8,4.77,1
62,Advanced Cotton Sheet Set,Home & Kitchen,Bedding,117.07,60.38,1
63,Essential Cotton Sheet Set,Home & Kitchen,Bedding,115.75,72.91,1
64,Lightweight Cotton Sheet Set,Home & Kitchen,Bedding,113.76,63.09,1
65,Original Memory Foam Pillow,Home & Kitchen,Bedding,172.37,105.56,1
66,Lightweight Duvet Cover,Home & Kitchen,Bedding,279.67,170.43,1
67,Premium Shelf Rack,Home & Kitchen,Storage & Organization,62.01,38.9,1
68,Original Shelf Rack,Home & Kitchen,Storage & Organization,204.27,116.54,1
69,Original Closet Organizer,Home & Kitchen,Storage & Organization,213.37,99.17,0
70,Deluxe Shelf Rack,Home & Kitchen,Storage & Organization,67.88,42.46,1
71,Deluxe Closet Organizer,Home & Kitchen,Storage & Organization,16.86,6.88,1
72,Pro Table Lamp,Home & Kitchen,Decor,196.03,92.12,1
73,Premium Table Lamp,Home & Kitchen,Decor,43.45,27.86,1
74,Premium Table Lamp,Home & Kitchen,Decor,41.44,19.91,1
75,Everyday Table Lamp,Home & Kitchen,Decor,185.8,93.54,1
76,Premium Vitamin C Serum,Beauty & Personal Care,Skincare,65.54,22.97,1
